Name,VUID
Tiger Leopard S1 BG Sd Safety Shoes (6 no),CP-498629-1
Tiger Leopard S1 BG Sd Safety Shoes (7 no),CP-498629-2
Tiger Leopard S1 BG Sd Safety Shoes (8 no),CP-498629-3
Tiger Leopard S1 BG Sd Safety Shoes (9 no),CP-498629-4
Tiger Leopard S1 BG Sd Safety Shoes (10 no),CP-498629-5
Mallcom Tiger Cougar S1 BG Dd Safety Shoes (6 no),CP-897752-1
Mallcom Tiger Cougar S1 BG Dd Safety Shoes (7 no),CP-897752-2
Mallcom Tiger Cougar S1 BG Dd Safety Shoes (8 no),CP-897752-3
Mallcom Tiger Cougar S1 BG Dd Safety Shoes (9 no),CP-897752-4
Mallcom Tiger Cougar S1 BG Dd Safety Shoes (10 no),CP-897752-5
"Karam FS05BL(SWSAPN) Safety Shoes (Black, 6 no)",CP-280850-1
"Karam FS05BL(SWSAPN) Safety Shoes (Black, 7 no)",CP-280850-2
"Karam FS05BL(SWSAPN) Safety Shoes (Black, 8 no)",CP-280850-3
"Karam FS05BL(SWSAPN) Safety Shoes (Black, 9 no)",CP-280850-4
"Karam FS05BL(SWSAPN) Safety Shoes (Black, 10 no)",CP-280850-5
"Reflective Safety Jacket 1 Inch (Orange, 70 gsm) (Size: 1 inch tap)",CP-505053-1
"Reflective Safety Jacket 1 Inch (Green, 70 gsm) (Size: 1 inch tap)",CP-505053-2
Reflective Safety Jacket 2 Inch (Orange) (Size: 2 inch tap),CP-903561-1
Reflective Safety Jacket 2 Inch (Green) (Size: 2 inch tap),CP-903561-2
Reflective Safety Jacket  3 Side Open (Orange),CP-810805-1
Reflective Safety Jacket  3 Side Open (Green),CP-810805-2
Industrial Safety Net (Single Layer) (5x10 meter),CP-914878-1
Industrial Safety Net (Single Layer) (3x10 meter),CP-914878-2
Two Layer Safety Net (With Fish Net) (5x10 meter),CP-007976-1
Two Layer Safety Net (With Fish Net) (3x10 meter),CP-007976-2
Safetape Nap Type Safety Helmet (Yellow),CP-211365-1
Safetape Nap Type Safety Helmet (White),CP-211365-2
Safetape Nap Type Safety Helmet (Blue),CP-211365-3
Safetape Nap Type Safety Helmet (Red),CP-211365-4
Safetape Ratchet Safety Helmet (Yellow),CP-409366-1
Safetape Ratchet Safety Helmet (White),CP-409366-2
Safetape Ratchet Safety Helmet (Blue),CP-409366-3
Safetape Ratchet Safety Helmet (Red),CP-409366-4
Karam PN-521 Ratchet Safety Helmet (Yellow),CP-780989-1
Karam PN-521 Ratchet Safety Helmet (White),CP-780989-2
Karam PN-521 Ratchet Safety Helmet (Blue),CP-780989-3
Karam PN-521 Ratchet Safety Helmet (Red),CP-780989-4
Karam PN-501 Nonratchet Safety Helmet (Yellow),CP-362799-1
Karam PN-501 Nonratchet Safety Helmet (White),CP-362799-2
Karam PN-501 Nonratchet Safety Helmet (Blue),CP-362799-3
Karam PN-501 Nonratchet Safety Helmet (Red),CP-362799-4
Sun 100 Safety Goggles (White),CP-685117-1
Sunline Safety Goggles ,CP-241357-1
Safetap GS001 Safety Goggles ,CP-060909-1
Zoom industrial Safety Goggles ,CP-868820-1
Safetap Gs005 Safety Goggles ,CP-674868-1
Karam ES-001 Safety Goggles ,CP-970465-1
Safety Belt Full Body Double Scaffolding Hook ,CP-924989-1
Safety Belt Full Body Double Scaffolding Hook With Shock Absorber ,CP-553549-1
Karam Nylon Full Body Harness KI-01 Fall Protection ,CP-942707-1
Karam Safety Harness KI-02 Fall Protection ,CP-954614-1
Cotton Polka Dotted Blue Hand Gloves (45 gm),CP-438685-1
Cotton Hand Gloves (Blue Knitted) (45 gm),CP-422758-1
Latex/Rubber Coated Hand Gloves (Gray and White),CP-485850-1
Grey Cut Resistant Hand Gloves SpiderGrip (Grey),CP-165344-1
Latex/Rubber Coated Hand Gloves (Blue and Grey),CP-485850-2
Rubber Hand Gloves (70 gm) (Size: 10 inch),CP-962772-1
C1001D Dotted Hand Gloves (Blue),CP-690874-1
Boiler Suit Terry Cotton (Blue) (Size: S),CP-374959-1
Boiler Suit Terry Cotton (Blue) (Size: M),CP-374959-2
Boiler Suit Terry Cotton (Blue) (Size: L),CP-374959-3
Boiler Suit Terry Cotton (Blue) (Size: XL),CP-374959-4
Boiler Suit Terry Cotton (Blue) (Size: XXL),CP-374959-5
Boiler Suit Terry Cotton (Orange) (Size: S),CP-374959-6
Boiler Suit Terry Cotton (Orange) (Size: M),CP-374959-7
Boiler Suit Terry Cotton (Orange) (Size: L),CP-374959-8
Boiler Suit Terry Cotton (Orange) (Size: XL),CP-374959-9
Boiler Suit Terry Cotton (Orange) (Size: XXL),CP-374959-10
Terry Cotton Boiler Suit with Reflective Tape (Blue) (Size: S),CP-982292-1
Terry Cotton Boiler Suit with Reflective Tape (Blue) (Size: M),CP-982292-2
Terry Cotton Boiler Suit with Reflective Tape (Blue) (Size: L),CP-982292-3
Terry Cotton Boiler Suit with Reflective Tape (Blue) (Size: XL),CP-982292-4
Terry Cotton Boiler Suit with Reflective Tape (Blue) (Size: XXL),CP-982292-5
Terry Cotton Boiler Suit with Reflective Tape (Orange) (Size: S),CP-982292-6
Terry Cotton Boiler Suit with Reflective Tape (Orange) (Size: M),CP-982292-7
Terry Cotton Boiler Suit with Reflective Tape (Orange) (Size: L),CP-982292-8
Terry Cotton Boiler Suit with Reflective Tape (Orange) (Size: XL),CP-982292-9
Terry Cotton Boiler Suit with Reflective Tape (Orange) (Size: XXL),CP-982292-10
Cotton Boiler Suit (Blue) (Size: S),CP-746564-1
Cotton Boiler Suit (Blue) (Size: M),CP-746564-2
Cotton Boiler Suit (Blue) (Size: L),CP-746564-3
Cotton Boiler Suit (Blue) (Size: XL),CP-746564-4
Cotton Boiler Suit (Blue) (Size: XXL),CP-746564-5
Cotton Boiler Suit (Orange) (Size: S),CP-746564-6
Cotton Boiler Suit (Orange) (Size: M),CP-746564-7
Cotton Boiler Suit (Orange) (Size: L),CP-746564-8
Cotton Boiler Suit (Orange) (Size: XL),CP-746564-9
Cotton Boiler Suit (Orange) (Size: XXL),CP-746564-10
Cotton Boiler Suit with Reflective Tape (Blue) (Size: S),CP-002598-1
Cotton Boiler Suit with Reflective Tape (Blue) (Size: M),CP-002598-2
Cotton Boiler Suit with Reflective Tape (Blue) (Size: L),CP-002598-3
Cotton Boiler Suit with Reflective Tape (Blue) (Size: XL),CP-002598-4
Cotton Boiler Suit with Reflective Tape (Blue) (Size: XXL),CP-002598-5
Cotton Boiler Suit with Reflective Tape (Orange) (Size: S),CP-002598-6
Cotton Boiler Suit with Reflective Tape (Orange) (Size: M),CP-002598-7
Cotton Boiler Suit with Reflective Tape (Orange) (Size: L),CP-002598-8
Cotton Boiler Suit with Reflective Tape (Orange) (Size: XL),CP-002598-9
Cotton Boiler Suit with Reflective Tape (Orange) (Size: XXL),CP-002598-10
12 Inch Gumboots (12 inch) (Size: 6),CP-103960-1
12 Inch Gumboots (12 inch) (Size: 7),CP-103960-2
12 Inch Gumboots (12 inch) (Size: 8),CP-103960-3
12 Inch Gumboots (12 inch) (Size: 9),CP-103960-4
12 Inch Gumboots (12 inch) (Size: 10),CP-103960-5
12 Inch Proton (Steel Toe) Gumboots (12 inch) (Size: 6),CP-813941-1
12 Inch Proton (Steel Toe) Gumboots (12 inch) (Size: 7),CP-813941-2
12 Inch Proton (Steel Toe) Gumboots (12 inch) (Size: 8),CP-813941-3
12 Inch Proton (Steel Toe) Gumboots (12 inch) (Size: 9),CP-813941-4
12 Inch Proton (Steel Toe) Gumboots (12 inch) (Size: 10),CP-813941-5
Dalfon S1 PVC Gumboots  (Size: 6),CP-111456-1
Dalfon S1 PVC Gumboots  (Size: 7),CP-111456-2
Dalfon S1 PVC Gumboots  (Size: 8),CP-111456-3
Dalfon S1 PVC Gumboots  (Size: 9),CP-111456-4
Dalfon S1 PVC Gumboots  (Size: 10),CP-111456-5
Karam Ear Plug with Nylonthread EP-02(A) ,CP-061075-1
Venus V44+ Respirator Dust Mask ,CP-191839-1
Karam RFH 02 Disposable Face Mask ,CP-427476-1
Welding Face Shield ,CP-654803-1
Welding Face Shield With Helmet ,CP-070956-1
Plastic Grinding Clear Face Shield without Helmet ,CP-282642-1
Safety Loader Helmet (Female Helmet) (Yellow),CP-155418-1
Safety Loader Helmet (Female Helmet) (Blue),CP-155418-2
First Aid Box ,CP-824826-1
Green Net Shade Agronet  (Size: 16X32 feet),CP-727908-1
Green Net Shade Agronet  (Size: 16X64 feet),CP-727908-2
Ceramic Fiber Fire Blanket  (Size: 1 x 2 meter),CP-627450-1
Fiber Glass Fire Blanket  (Size: 1 x 2 meter),CP-094545-1
DSP Maple Model Safety Shoes (Black) (Size: 6),CP-781278-1
DSP Maple Model Safety Shoes (Black) (Size: 7),CP-781278-2
DSP Maple Model Safety Shoes (Black) (Size: 8),CP-781278-3
DSP Maple Model Safety Shoes (Black) (Size: 9),CP-781278-4
DSP Maple Model Safety Shoes (Black) (Size: 10),CP-781278-5
DSP Storm Model Safety Shoes (Black) (Size: 6),CP-636727-1
DSP Storm Model Safety Shoes (Black) (Size: 7),CP-636727-2
DSP Storm Model Safety Shoes (Black) (Size: 8),CP-636727-3
DSP Storm Model Safety Shoes (Black) (Size: 9),CP-636727-4
DSP Storm Model Safety Shoes (Black) (Size: 10),CP-636727-5
DSP Unicorn Model Safety Shoes (Black) (Size: 6),CP-780450-1
DSP Unicorn Model Safety Shoes (Black) (Size: 7),CP-780450-2
DSP Unicorn Model Safety Shoes (Black) (Size: 8),CP-780450-3
DSP Unicorn Model Safety Shoes (Black) (Size: 9),CP-780450-4
DSP Unicorn Model Safety Shoes (Black) (Size: 10),CP-780450-5
DSP Newton Model Safety Shoes DD (Black) (Size: 5),CP-270992-1
DSP Newton Model Safety Shoes DD (Black) (Size: 6),CP-270992-2
DSP Newton Model Safety Shoes DD (Black) (Size: 7),CP-270992-3
DSP Newton Model Safety Shoes DD (Black) (Size: 8),CP-270992-4
DSP Newton Model Safety Shoes DD (Black) (Size: 9),CP-270992-5
DSP Newton Model Safety Shoes DD (Black) (Size: 10),CP-270992-6
DSP Newton Model Safety Shoes DD (Black) (Size: 11),CP-270992-7
DSP Newton Model Safety Shoes DD (Black) (Size: 12),CP-270992-8
DSP Optimus DD Model Safety Shoes (Black) (Size: 5),CP-048541-1
DSP Optimus DD Model Safety Shoes (Black) (Size: 6),CP-048541-2
DSP Optimus DD Model Safety Shoes (Black) (Size: 7),CP-048541-3
DSP Optimus DD Model Safety Shoes (Black) (Size: 8),CP-048541-4
DSP Optimus DD Model Safety Shoes (Black) (Size: 9),CP-048541-5
DSP Optimus DD Model Safety Shoes (Black) (Size: 10),CP-048541-6
DSP Optimus DD Model Safety Shoes (Black) (Size: 11),CP-048541-7
DSP Optimus DD Model Safety Shoes (Black) (Size: 12),CP-048541-8
DSP Optimus SD Model Safety Shoes (Black) (Size: 5),CP-052260-1
DSP Optimus SD Model Safety Shoes (Black) (Size: 6),CP-052260-2
DSP Optimus SD Model Safety Shoes (Black) (Size: 7),CP-052260-3
DSP Optimus SD Model Safety Shoes (Black) (Size: 8),CP-052260-4
DSP Optimus SD Model Safety Shoes (Black) (Size: 9),CP-052260-5
DSP Optimus SD Model Safety Shoes (Black) (Size: 10),CP-052260-6
DSP Optimus SD Model Safety Shoes (Black) (Size: 11),CP-052260-7
DSP Optimus SD Model Safety Shoes (Black) (Size: 12),CP-052260-8
Comsafe Victor Model Safety Shoes (Black) (Size: 5),CP-210006-1
Comsafe Victor Model Safety Shoes (Black) (Size: 6),CP-210006-2
Comsafe Victor Model Safety Shoes (Black) (Size: 7),CP-210006-3
Comsafe Victor Model Safety Shoes (Black) (Size: 8),CP-210006-4
Comsafe Victor Model Safety Shoes (Black) (Size: 9),CP-210006-5
Comsafe Victor Model Safety Shoes (Black) (Size: 10),CP-210006-6
Comsafe Victor Model Safety Shoes (Black) (Size: 11),CP-210006-7
Comsafe Victor Model Safety Shoes (Black) (Size: 12),CP-210006-8
Comsafe Arrow Model Safety Shoes (Black) (Size: 5),CP-524102-1
Comsafe Arrow Model Safety Shoes (Black) (Size: 6),CP-524102-2
Comsafe Arrow Model Safety Shoes (Black) (Size: 7),CP-524102-3
Comsafe Arrow Model Safety Shoes (Black) (Size: 8),CP-524102-4
Comsafe Arrow Model Safety Shoes (Black) (Size: 9),CP-524102-5
Comsafe Arrow Model Safety Shoes (Black) (Size: 10),CP-524102-6
Comsafe Arrow Model Safety Shoes (Black) (Size: 11),CP-524102-7
Comsafe Arrow Model Safety Shoes (Black) (Size: 12),CP-524102-8
"Jama JS062 Model Safety Shoes (Black, 5 no)",CP-239187-1
"Jama JS062 Model Safety Shoes (Black, 6 no)",CP-239187-2
"Jama JS062 Model Safety Shoes (Black, 7 no)",CP-239187-3
"Jama JS062 Model Safety Shoes (Black, 8 no)",CP-239187-4
"Jama JS062 Model Safety Shoes (Black, 9 no)",CP-239187-5
"Jama JS062 Model Safety Shoes (Black, 10 no)",CP-239187-6
"Jama JS062 Model Safety Shoes (Black, 11 no)",CP-239187-7
"Jama JS062 Model Safety Shoes (Black, 12 no)",CP-239187-8
"Jama Phoenix JS073 Model Safety Shoes (6 Months Warranty) (Black, 5 no)",CP-747297-1
"Jama Phoenix JS073 Model Safety Shoes (6 Months Warranty) (Black, 6 no)",CP-747297-2
"Jama Phoenix JS073 Model Safety Shoes (6 Months Warranty) (Black, 7 no)",CP-747297-3
"Jama Phoenix JS073 Model Safety Shoes (6 Months Warranty) (Black, 8 no)",CP-747297-4
"Jama Phoenix JS073 Model Safety Shoes (6 Months Warranty) (Black, 9 no)",CP-747297-5
"Jama Phoenix JS073 Model Safety Shoes (6 Months Warranty) (Black, 10 no)",CP-747297-6
"Jama Phoenix JS073 Model Safety Shoes (6 Months Warranty) (Black, 11 no)",CP-747297-7
"Jama Phoenix JS073 Model Safety Shoes (6 Months Warranty) (Black, 12 no)",CP-747297-8
Jama JB001 Model Safety Shoes (Black) (Size: 5),CP-501640-1
Jama JB001 Model Safety Shoes (Black) (Size: 6),CP-501640-2
Jama JB001 Model Safety Shoes (Black) (Size: 7),CP-501640-3
Jama JB001 Model Safety Shoes (Black) (Size: 8),CP-501640-4
Jama JB001 Model Safety Shoes (Black) (Size: 9),CP-501640-5
Jama JB001 Model Safety Shoes (Black) (Size: 10),CP-501640-6
Jama JB001 Model Safety Shoes (Black) (Size: 11),CP-501640-7
Jama JB001 Model Safety Shoes (Black) (Size: 12),CP-501640-8
"Jama JB003 Model Safety Shoes (Black, 5 no)",CP-959516-1
"Jama JB003 Model Safety Shoes (Black, 6 no)",CP-959516-2
"Jama JB003 Model Safety Shoes (Black, 7 no)",CP-959516-3
"Jama JB003 Model Safety Shoes (Black, 8 no)",CP-959516-4
"Jama JB003 Model Safety Shoes (Black, 9 no)",CP-959516-5
"Jama JB003 Model Safety Shoes (Black, 10 no)",CP-959516-6
"Jama JB003 Model Safety Shoes (Black, 11 no)",CP-959516-7
"Jama JB003 Model Safety Shoes (Black, 12 no)",CP-959516-8
"Polo Synthetic Safety Shoes (Black, 6 no)",CP-360954-1
"Polo Synthetic Safety Shoes (Black, 7 no)",CP-360954-2
"Polo Synthetic Safety Shoes (Black, 8 no)",CP-360954-3
"Polo Synthetic Safety Shoes (Black, 9 no)",CP-360954-4
"Polo Synthetic Safety Shoes (Black, 10 no)",CP-360954-5
Safety Helmet For Labor (Yellow),CP-144642-1
Safety Helmet For Labor (White),CP-144642-2
Safety Helmet For Labor (Blue),CP-144642-3
Safety Helmet For Labor (Red),CP-144642-4
Safety Helmet Saviour Make (Yellow),CP-918700-1
Safety Helmet Saviour Make (White),CP-918700-2
Safety Helmet Saviour Make (Blue),CP-918700-3
Safety Helmet Saviour Make (Red),CP-918700-4
Safety Jacket with 1 Inch Reflective Tape (Orange) (Size: 1 inch),CP-846034-1
Safety Jacket with 1 Inch Reflective Tape (Green) (Size: 1 inch),CP-846034-2
Rubber Hand Gloves (45 gm) (Size: 12 inch),CP-962772-2
Rubber Hand Gloves for Industrial Use  (Size: 14 inch),CP-882483-1
Dotted Hand Gloves ,CP-589689-1
Knitted Hand Gloves ,CP-178747-1
Barricade Tape Roll (250 meter),CP-728086-1
Safety Goggles Sun 100 Clear ,CP-173784-1
Safety Goggles Venus E-102 Chc ,CP-065496-1
Safety Belt Full Body Double Rope Scarf Holding ,CP-035477-1
Safety Belt Full Body Double Rope Screw Type ,CP-065566-1
Safety Belt Full Body Double Rope Scarf Holding With Shock Absorb ,CP-881008-1
Cut Resistant Gloves ,CP-915250-1
Leather Hand Gloves ,CP-373775-1
Nose Mask PP Yellow ,CP-432767-1
Disposable Mask ,CP-760779-1
MS Binding Wires (57 to 62 kg approx.) (Size: 18 gauge),CP-591002-1
Cutting Wheel  (Size: 4 inch),CP-345056-1
MS Wire Nails  (Size: 2.5 inch / 10 gauge),CP-898287-1
Kathi Dori - Coir Yarn Dry (Approx 8 kg),CP-546062-1
Pickaxe Trikam No.10 Regular (without Handle) ,CP-567250-1
PVC Wire Brush ,CP-451210-1
"Regular Bamboo Pole (2.5-3 Inch, 24 feet, 10 kg)",CP-794405-1
"Teka / Balli (Wooden Shuttering Poles For Slab Construction) (10 feet, 2.5-3 Inch)",CP-498544-1
"Teka (Wooden Shuttering Poles) 12 Feet (12 feet, 4-5 Inch)",CP-985378-1
"Teka (Wooden Shuttering Poles) 14 Feet (14 feet, 4-5 Inch)",CP-608661-1
"Teka (Wooden Shuttering Poles) 16 Feet (16 feet, 4-5 Inch)",CP-768115-1
"Chavi (8 ft, Pine Wood Timber) (Size: 4x3 (3.625x2.625) inch)",CP-783828-1
Patti - Pine Wood (Size: 2.625x1.625 inch),CP-912805-1
Fire/Fuel Wood  (Size: 3-6 inch),CP-485272-1
"Shuttering Plywood Sheet (Make: Heaven Fort)  (12 mm, 30 kg) (Size: 8X4 feet)",CP-645513-1
Jungle Wood ,CP-595317-1
"PVC Pipe (Braided/Garden Pipe) (30 meter, 5.5 kg approx.) (Size: 0.75 inch)",CP-631970-1
Wood and Ply Cutting Blade  (Size: 7 inch),CP-961106-1
Metal/Steel Cutting Blade  (Size: 4 inch),CP-218683-1
Metal/Steel Cutting Blade (Ultratouch)  (Size: 7 inch),CP-817174-1
Metal/Steel Cutting Blade  (Size: 14 inch),CP-218683-2
Spades/Pawda Regular 8 No. without Handle  (Size: 8 no.),CP-522929-1
Bitumen (Damar) 9015 ,CP-058941-1
Wooden Taar/Wire Brush  ,CP-038739-1
Kantan Hessian Cloth / Jute Brown (Width 1 Meter) ,CP-049621-1
Measuring Tape (Steel) (5 meter),CP-796865-1
Measuring Tape (Steel) (30 meter),CP-796865-2
16 AMP 5 Pin 3 Phase Industrial Plug ,CP-968013-1
Shovel with Handle ,CP-740924-1
Shovel with Handle ,CP-926063-1
Thermocol Sheet (Size: 19 x 39 inch) (40 sheets) (Size: 25 mm),CP-250722-1
Ankdi ,CP-618679-1
Concrete Cover Blocks with Wire (10 kg) (Size: 20 mm (180 nos)),CP-765981-1
Concrete Cover Blocks with Wire 25 mm  (Size: 25 mm),CP-434788-1
Concrete Cover Blocks with Wire 30 mm  (Size: 30 mm),CP-559653-1
Concrete Cover Blocks with Wire 40 mm  (Size: 40 mm),CP-446979-1
Concrete Cover Blocks with Wire 50 mm  (Size: 50 mm),CP-986254-1
Concrete Cover Blocks with Wire 75 mm  (Size: 75 mm),CP-662727-1
Concrete Round Pile Cover Blocks  (Size: 50 mm (25 Nos)) (Total Dia: 114 mm) (Thickness: 25 mm) ( Hole Size: 14 mm),CP-429830-1
Concrete Round Blocks 50 mm  (Size: 50 mm),CP-563270-1
Concrete Round Blocks 75 mm  (Size: 75 mm),CP-295485-1
Bill Hook (Dhariya) ,CP-219494-1
GI Chicken Mesh Jali (26 guage) (Size: 1 x 15 mtr),CP-634592-1
Cotton Yarn Ball (Cotton Line Dori) ,CP-046781-1
Diamond Cup Grinding Wheel  (Size: 3 inch),CP-674152-1
Diamond Cup Grinding Wheel  (Size: 4 inch),CP-674152-2
Dagh - Bar Bending Tool (Heavy Quality)  (Size: 6 mm),CP-509991-1
Dagh - Bar Bending Tool (Heavy Quality)  (Size: 8 mm),CP-509991-2
Dagh - Bar Bending Tool (Heavy Quality)  (Size: 10 mm),CP-509991-3
Dagh - Bar Bending Tool (Heavy Quality)  (Size: 12 mm),CP-509991-4
Dagh - Bar Bending Tool (Heavy Quality)  (Size: 16 mm),CP-509991-5
Dagh - Bar Bending Tool (Heavy Quality)  (Size: 20 mm),CP-509991-6
Dagh - Bar Bending Tool (Heavy Quality)  (Size: 25 mm),CP-509991-7
Dagh - Bar Bending Tool (Heavy Quality)  (Size: 32 mm),CP-509991-8
Metal Dantali Gardening Rake ,CP-235379-1
Datardu Metal Hand Sickle with PVC Handle ,CP-571063-1
Flashing/Waterproofing Tape (Damar Patta) (10 meter) (Size: 2 inch),CP-309183-1
Flashing/Waterproofing Tape (Damar Patta) (10 meter) (Size: 3 inch),CP-309183-2
Flashing/Waterproofing Tape (Damar Patta) (10 meter) (Size: 4 inch),CP-309183-3
Flashing/Waterproofing Tape (Damar Patta) (10 meter) (Size: 6 inch),CP-309183-4
Metal Fire Safety Bucket ,CP-478728-1
Flower Cutter ,CP-091695-1
GI Handle Only (For Centring Hammer) (15 inch),CP-886059-1
Gandasa (Koita) PVC Handle ,CP-679407-1
Galvanized Barbed Wire  (Size: 12*14),CP-015183-1
GI Bucket (Dol)  (Size: 10 no),CP-615875-1
GI Bucket (Dol)  (Size: 11 no),CP-615875-2
GI Bucket (Dol)  (Size: 12 no),CP-615875-3
GI Bucket (Dol)  (Size: 13 no),CP-615875-4
GI Bucket (Dol)  (Size: 14 no),CP-615875-5
GI Ghamela (Tagara) Heavy Quality  (Size: 14 inch),CP-834045-1
GI Ghamela (Tagara) Heavy Quality  (Size: 16 inch),CP-834045-2
GI Ghamela (Tagara) Heavy Quality  (Size: 18 inch),CP-834045-3
GI Ghamela (Tagara) Regular Quality  (Size: 14 inch),CP-449240-1
GI Ghamela (Tagara) Regular Quality  (Size: 16 inch),CP-449240-2
GI Ghamela (Tagara) Regular Quality  (Size: 18 inch),CP-449240-3
"GI Jasti Khila (2.5 kg, 1.5 inch)",CP-080167-1
"GI Jasti Khila (2.5 kg, 2 inch)",CP-080167-2
"GI Jasti Khila (2.5 kg, 2.5 inch)",CP-080167-3
"GI Jasti Khila (2.5 kg, 3 inch)",CP-080167-4
"GI Jasti Khila (2.5 kg, 4 inch)",CP-080167-5
"GI Jasti Khila (2.5 kg, 5 inch)",CP-080167-6
"GI Jasti Khila (2.5 kg, 6 inch)",CP-080167-7
MS Binding Wires (Delivery: 2-3 days)   (Size: 16 gauge),CP-534730-1
GI Wire 10 Gauge  (Size: 10 gauge),CP-423600-1
Tata GI Wire  (Size: 12 gauge),CP-385437-1
Gi Wire 14 Gauge  (Size: 14 gauge),CP-738236-1
Gi Wire 16 Gauge  (Size: 16 gauge),CP-310448-1
Bansal GI Binding Wires  (Size: 16 gauge),CP-030150-1
GI Binding Wires (60 kg) (Size: 18 gauge),CP-102355-1
Gi Wire 18 Gauge (Bansal)  (Size: 18 gauge),CP-238101-1
Gi Wire 20 Gauge  (Size: 20 gauge),CP-944971-1
Gi Wire 20 Gauge (Bansal)  (Size: 20 gauge),CP-982221-1
Gi Wire 22 Gauge (Bansal)  (Size: 22 gauge),CP-055050-1
Gi Wire 24 Gauge (Bansal)  (Size: 24 gauge),CP-064094-1
Gumboots Heavy Red ,CP-564901-1
Gumboots  (Size: 8),CP-860288-1
Gumboots  (Size: 9),CP-860288-2
Gumboots  (Size: 10),CP-860288-3
Gurmala with Wooden Handle / Plaster Patra ,CP-780204-1
Gurmala with PVC Handle / Plaster Patra ,CP-243387-1
Hacksaw Blade (Single Side),CP-952659-1
Double Side Hacksaw Blade ,CP-140147-1
Hacksaw Frame ,CP-626052-1
Hathodi - Hammer with Handle 1.5 No. ,CP-871260-1
Hathodi - Hammer with Handle 2 No. ,CP-294051-1
Hathodi - Hammer with Handle 2.5 No. ,CP-639816-1
Hathodi - Hammer with Handle 3 No. ,CP-472648-1
HDPE Fishing Pigeon Net ,CP-227977-1
HDPE Twine Line Dori (1pack - 8nos) ,CP-776030-1
Hex Round Chisel  (Size: 6 inch),CP-375864-1
Hex Round Chisel  (Size: 8 inch),CP-375864-2
Hex Round Chisel  (Size: 10 inch),CP-375864-3
Hex Round Chisel  (Size: 12 inch),CP-375864-4
"Fiber Glass Chicken Mesh Roll (White, 50 meter) (Size: 4 inch)",CP-020124-1
"Fiber Glass Chicken Mesh Roll (White, 50 meter) (Size: 6 inch)",CP-020124-2
Tata Barbed Wire 12x14 ,CP-938569-1
Karni / Thapi - Trowel - Bigger  (Size: 8 no),CP-326808-1
Karni / Thapi - Trowel - Bigger  (Size: 10 no),CP-326808-2
Karni / Thapi - Trowel - Bigger  (Size: 12 no),CP-326808-3
Karni / Thapi - Trowel - Bigger  (Size: 4 no),CP-326808-4
Katoni (Katawani) Ripping Bar  (Size: 4 feet),CP-017098-1
Katoni (Katawani) Ripping Bar  (Size: 5 feet),CP-017098-2
